Albuquerque 	499.98
Anaheim 	499.98
Anchorage 	499.99
Arlington 	499.95
Atlanta 	499.96
Aurora 	499.97
Austin 	499.97
Bakersfield 	499.97
Baltimore 	499.99
Baton Rouge 	499.98
Birmingham 	499.99
Boise 	499.98
Boston 	499.99
Buffalo 	499.99
Chandler 	499.98
Charlotte 	499.98
Chesapeake 	499.98
Chicago 	499.99
Chula Vista 	499.99
Cincinnati 	499.98
Cleveland 	499.98
Colorado Springs 	499.99
Columbus 	499.98
Corpus Christi 	499.96
Dallas 	499.99
Denver 	499.97
Detroit 	499.99
Durham 	499.96
El Paso 	499.98
Fort Wayne 	499.96
Fort Worth 	499.98
Fremont 	499.99
Fresno 	499.99
Garland 	499.99
Gilbert 	499.99
Glendale 	499.98
Greensboro 	499.99
Henderson 	499.99
Hialeah 	499.99
Honolulu 	499.99
Houston 	499.99
Indianapolis 	499.98
Irvine 	499.99
Irving 	499.99
Jacksonville 	499.99
Jersey City 	499.99
Kansas City 	499.97
Laredo 	499.96
Las Vegas 	499.98
Lexington 	499.97
Lincoln 	499.99
Long Beach 	499.99
Los Angeles 	499.99
Louisville 	499.98
Lubbock 	499.98
Madison 	499.97
Memphis 	499.97
Mesa 	499.99
Miami 	499.98
Milwaukee 	499.97
Minneapolis 	499.97
Nashville 	499.97
New Orleans 	499.99
New York 	499.99
Newark 	499.99
Norfolk 	499.97
North Las Vegas 	499.98
Oakland 	499.99
Oklahoma City 	499.99
Omaha 	499.99
Orlando 	499.99
Philadelphia 	499.98
Phoenix 	499.99
Pittsburgh 	499.99
Plano 	499.99
Portland 	499.96
Raleigh 	499.99
Reno 	499.99
Richmond 	499.96
Riverside 	499.98
Rochester 	499.99
Sacramento 	499.96
Saint Paul 	499.98
San Antonio 	499.98
San Bernardino 	499.98
San Diego 	499.98
San Francisco 	499.97
San Jose 	499.99
Santa Ana 	499.97
Scottsdale 	499.98
Seattle 	499.99
Spokane 	499.99
St. Louis 	499.99
St. Petersburg 	499.95
Stockton 	499.98
Tampa 	499.99
Toledo 	499.98
Tucson 	499.98
Tulsa 	499.96
Virginia Beach 	499.98
Washington 	499.98
Wichita 	499.97
Winston–Salem 	499.98
