Albuquerque 	10052311.42
Anaheim 	10076416.36
Anchorage 	9933500.4
Arlington 	10072207.97
Atlanta 	9997146.7
Aurora 	9992970.92
Austin 	10057158.9
Bakersfield 	10031208.92
Baltimore 	10096521.45
Baton Rouge 	10131273.23
Birmingham 	10076606.52
Boise 	10039166.74
Boston 	10039473.28
Buffalo 	10001941.19
Chandler 	9919559.86
Charlotte 	10112531.34
Chesapeake 	10038504.92
Chicago 	10062522.07
Chula Vista 	9974951.34
Cincinnati 	10139505.74
Cleveland 	10067835.84
Colorado Springs 	10061105.87
Columbus 	10035241.03
Corpus Christi 	9976522.77
Dallas 	10066548.45
Denver 	10031534.87
Detroit 	9979260.76
Durham 	10153890.21
El Paso 	10016409.97
Fort Wayne 	10132594.02
Fort Worth 	10120830.65
Fremont 	10053242.36
Fresno 	9976260.26
Garland 	10071043.92
Gilbert 	10062115.19
Glendale 	10044493.97
Greensboro 	10033781.39
Henderson 	10053416.05
Hialeah 	10047052.76
Honolulu 	10006273.49
Houston 	10042106.27
Indianapolis 	10090272.77
Irvine 	10084867.45
Irving 	10133944.08
Jacksonville 	10072003.33
Jersey City 	9920141.87
Kansas City 	9968118.73
Laredo 	10144604.98
Las Vegas 	10054257.98
Lexington 	10084510.95
Lincoln 	10069485.4
Long Beach 	10006380.25
Los Angeles 	10084576.8
Louisville 	10008566.47
Lubbock 	9958119.15
Madison 	10032035.54
Memphis 	10038565.32
Mesa 	10053642.6
Miami 	9947316.07
Milwaukee 	10064482.65
Minneapolis 	10011757.78
Nashville 	9961450.51
New Orleans 	9949257.75
New York 	10085293.55
Newark 	10144052.8
Norfolk 	10088563.17
North Las Vegas 	10029652.51
Oakland 	9947292.52
Oklahoma City 	10118986.25
Omaha 	10026642.34
Orlando 	10074922.52
Philadelphia 	10190080.26
Phoenix 	10079076.7
Pittsburgh 	10090124.82
Plano 	10046103.61
Portland 	10007635.77
Raleigh 	10061442.54
Reno 	10079955.16
Richmond 	9992941.59
Riverside 	10006695.42
Rochester 	10067606.92
Sacramento 	10123468.18
Saint Paul 	10057233.57
San Antonio 	10014441.7
San Bernardino 	9965152.04
San Diego 	9966038.39
San Francisco 	9995570.54
San Jose 	9936721.41
Santa Ana 	10050309.93
Scottsdale 	10037929.85
Seattle 	9936267.37
Spokane 	10083362.98
St. Louis 	10002105.14
St. Petersburg 	9986495.54
Stockton 	10006412.64
Tampa 	10106428.55
Toledo 	10020768.88
Tucson 	9998252.47
Tulsa 	10064955.9
Virginia Beach 	10086553.5
Washington 	10139363.39
Wichita 	10083643.21
Winston–Salem 	10044011.83
